Subject ID,Mode,Total time,Total length,Size,Aspect Ratio,Velocity Stability,Angular Stability,Pen Off %,Hori Portion,Vert Portion,Obli Portion,Hori SD,Vert SD,Obli SD,Hesitation Count,Hesitation Portion,
p44070814,Copy,4.5479,0.406909399,0.161753254,0.38477785,0.222596176,0.167040861,0.273943847,0.43247167,0.194300015,0.373228315,0.23138101,0.30896211,0.333421233,0.385,0.050518305,4
p44070814,Recall,5.5909,0.352537404,0.21622646,0.323920039,0.290810235,0.158426863,0.497349823,0.454575204,0.194521999,0.350902797,0.183321017,0.426596763,0.445964013,0.383,0.048340275,2
p45180814,Copy,6.7094,0.442537559,0.197496507,0.348361402,0.213396348,0.14500583,0.256546387,0.405500044,0.199612235,0.394887721,0.218567888,0.193870189,0.311232714,0.643,0.057865371,3
p45180814a,Recall,7.7747,0.326645104,0.17066077,0.287587837,0.268240901,0.123354376,0.5721769,0.411142456,0.17807556,0.410781984,0.166088466,0.381736693,0.370468863,0.549,0.047148746,2
p46210814,Copy,3.1589,0.517942896,0.343507765,0.349203929,0.338614225,0.194160886,0.316023166,0.400879269,0.225280351,0.37384038,0.316735597,0.346087979,0.444872684,0.268,0.051747442,3
p46210814a,Recall,3.0304,0.46204756,0.3113978,0.372074484,0.834773984,0.223742076,0.367330463,0.438037801,0.141562372,0.420399827,0.288400215,0.640558543,0.522898867,0.128,0.034454913,2
p47110914,Copy,6.9827,0.486747272,0.212372968,0.346551382,0.142037276,0.110661414,0.341068023,0.335334412,0.185770228,0.47889536,0.251917264,0.302738682,0.286643032,0.521,0.04140507,2
p47110914,Recall,7.8751,0.387309089,0.208408371,0.307489878,0.330895039,0.068655881,0.717359543,0.316336185,0.140375642,0.543288173,0.302845382,0.530244338,0.302760134,0.209,0.013880587,2
p48110914,Copy,9.5861,0.379006192,0.165373855,0.357275528,0.220763044,0.113737574,0.547639547,0.434889599,0.194809938,0.370300464,0.206671642,0.319177126,0.317087648,0.826,0.0592667,2
p48110914,Recall,7.0505,0.299560594,0.106818735,0.362632363,0.275371455,0.120851637,0.604996557,0.520399272,0.145674804,0.333925924,0.272604393,0.50861243,0.465050636,0.501,0.04928192,3
